year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,geolocation,data_value_footnote_symbol,data_value_footnote
2023,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,561,6.6655,5.8655,7.4655,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,04,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,73,1.1096,0.7495999999999999,1.4695999999999998,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,04,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,1045,11.6246,10.584599999999998,12.6646,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,04,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,652,8.6526,7.7126,9.5926,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,04,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,9556,71.9476,70.52759999999999,73.3676,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,04,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,208,6.0565,4.9765,7.1365,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,05,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,40,1.532,0.9420000000000001,2.122,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,05,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,379,10.2486,8.9686,11.528599999999999,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,05,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,176,5.1973,4.1973,6.1973,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,05,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AR,Arkansas,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,4493,76.9657,75.1957,78.7357,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,05,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,533,4.7158,4.1457999999999995,5.2858,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,06,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,143,1.3917,1.1217,1.6617,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,06,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,1387,12.8393,11.9293,13.7493,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,06,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,744,7.5842,6.8542000000000005,8.3142,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,06,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CA,California,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,8946,73.4689,72.2689,74.66890000000001,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,06,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,469,6.6747,5.9147,7.434699999999999,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,08,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,55,0.8638,0.5938,1.1338,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,08,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,1044,13.0396,12.1196,13.9596,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,08,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,606,8.2782,7.5182,9.0382,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,08,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CO,Colorado,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,6493,71.1437,69.8937,72.3937,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,08,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,237,3.1242,2.4942,3.7542,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,09,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,44,0.7428,0.4728,1.0128,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,09,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,803,10.3621,9.3321,11.3921,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,09,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,412,5.9984,5.1084000000000005,6.8884,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,09,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,CT,Connecticut,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,7909,79.7727,78.3827,81.1627,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,09,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,112,4.0822,2.9422000000000006,5.2222,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,10,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,29,0.7413,0.41129999999999994,1.0713,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,10,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,299,9.793,8.253,11.332999999999998,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,10,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,157,6.1743,4.7242999999999995,7.6243,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,10,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DE,Delaware,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,3636,79.2091,77.0291,81.38910000000001,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,10,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,57,2.0899,1.3499,2.8299000000000003,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,11,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,5,,,,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,11,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",*,Age-adjusted prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.
2023,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,350,12.7933,11.1233,14.4633,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,11,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,163,6.241,5.071,7.411,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,11,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,DC,District of Columbia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,2595,78.4941,76.4641,80.5241,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,11,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,567,5.862,4.922000000000001,6.802,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,12,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,97,2.0973,1.3273000000000001,2.8673,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,12,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,932,10.6981,9.3881,12.0081,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,12,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,557,6.7877,5.6777,7.8977,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,12,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,10907,74.5549,72.78490000000001,76.3249,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,12,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,300,5.003,4.213,5.793,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,13,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,53,1.2727,0.7226999999999999,1.8227,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,13,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,601,11.5353,10.2953,12.7753,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,13,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,365,6.8752,5.9552000000000005,7.7952,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,13,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GA,Georgia,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,6823,75.3138,73.74380000000001,76.8838,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,13,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '32.83968109300048', 'longitude': '-83.62758034599966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GU,Guam,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,98,6.9619,4.9619,8.9619,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,66,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '13.444304', 'longitude': '144.793731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GU,Guam,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,21,,,,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,66,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '13.444304', 'longitude': '144.793731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",*,Age-adjusted prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.
2023,GU,Guam,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,146,9.2491,6.9091000000000005,11.5891,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,66,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '13.444304', 'longitude': '144.793731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GU,Guam,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,81,6.4837,4.0137,8.9537,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,66,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '13.444304', 'longitude': '144.793731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,GU,Guam,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,1207,74.9303,71.1503,78.7103,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,66,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '13.444304', 'longitude': '144.793731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,HI,Hawaii,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,362,5.654,4.824,6.484,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,15,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '21.304850435000446', 'longitude': '-157.85774940299973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
