year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,geolocation
2022,10740,"Albuquerque, NM Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,251,22.1,18.7,25.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10740,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '35.1165976', 'longitude': '-106.4565247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10740,"Albuquerque, NM Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,933,77.9,74.5,81.3,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10740,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '35.1165976', 'longitude': '-106.4565247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,11260,"Anchorage, AK Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,509,21.5,19.4,23.6,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,11260,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '26.936', 'longitude': '-114.896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,11260,"Anchorage, AK Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1825,78.5,76.4,80.6,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,11260,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '26.936', 'longitude': '-114.896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,651,18,16.2,19.9,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12060,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '33.693728', 'longitude': '-84.3999113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,3081,82,80.1,83.8,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12060,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '33.693728', 'longitude': '-84.3999113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,235,21.9,18,25.8,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12260,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '33.4372136', 'longitude': '-81.9561532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1055,78.1,74.2,82,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12260,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '33.4372136', 'longitude': '-81.9561532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12420,"Austin-Round Rock, TX Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,301,21.2,18.1,24.3,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12420,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '30.2395076', 'longitude': '-97.6912621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12420,"Austin-Round Rock, TX Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1172,78.8,75.7,81.9,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12420,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '30.2395076', 'longitude': '-97.6912621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,1026,20.6,18.9,22.3,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12580,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '39.3043531', 'longitude': '-76.5494987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,4314,79.4,77.7,81.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12580,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '39.3043531', 'longitude': '-76.5494987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12940,"Baton Rouge, LA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,220,25.7,22,29.4,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12940,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '30.5187808', 'longitude': '-91.1255901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,12940,"Baton Rouge, LA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,676,74.3,70.6,78,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,12940,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '30.5187808', 'longitude': '-91.1255901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13740,"Billings, MT Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,214,29.9,26,33.7,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13740,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '45.6371402', 'longitude': '-108.5978402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13740,"Billings, MT Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,650,70.1,66.3,74,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13740,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '45.6371402', 'longitude': '-108.5978402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,223,24.7,20.9,28.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13820,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '33.4025986', 'longitude': '-86.7295151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,754,75.3,71.5,79.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13820,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '33.4025986', 'longitude': '-86.7295151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13900,"Bismarck, ND Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,130,23,19,27,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13900,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '46.8373476', 'longitude': '-100.9054398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,13900,"Bismarck, ND Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,563,77,73,81,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,13900,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '46.8373476', 'longitude': '-100.9054398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,14260,"Boise City, ID Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,509,23.9,21.6,26.2,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,14260,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '43.0066426', 'longitude': '-116.141896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,14260,"Boise City, ID Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1746,76.1,73.8,78.4,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,14260,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '43.0066426', 'longitude': '-116.141896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,14454,"Boston, MA Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,676,20.3,18.3,22.3,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,14454,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '42.0625412', 'longitude': '-70.8754256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,14454,"Boston, MA Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,2738,79.7,77.7,81.7,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,14454,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '42.0625412', 'longitude': '-70.8754256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,179,24.5,20.3,28.7,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15380,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '43.0443626', 'longitude': '-78.777332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,661,75.5,71.3,79.7,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15380,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '43.0443626', 'longitude': '-78.777332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,670,25,22.7,27.4,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15540,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '44.6859702', 'longitude': '-73.0411693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,2347,75,72.6,77.3,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15540,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '44.6859702', 'longitude': '-73.0411693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,756,22.2,20.2,24.3,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15764,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '42.4794683', 'longitude': '-71.3965063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,2717,77.8,75.7,79.8,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15764,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '42.4794683', 'longitude': '-71.3965063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15804,"Camden, NJ Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,189,19.4,15.9,23,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15804,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '39.8097724', 'longitude': '-74.8232021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,15804,"Camden, NJ Metropolitan Division",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,842,80.6,77,84.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,15804,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '39.8097724', 'longitude': '-74.8232021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,126,24.6,20.2,29.1,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16300,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '42.0855843', 'longitude': '-91.6304636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,426,75.4,70.9,79.8,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16300,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '42.0855843', 'longitude': '-91.6304636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,1391,22.7,20.9,24.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,39300,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '41.7041016', 'longitude': '-71.285053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16620,"Charleston, WV Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,232,27.1,22.8,31.3,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16620,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '38.2894132', 'longitude': '-81.6203407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16620,"Charleston, WV Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,664,72.9,68.7,77.2,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16620,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '38.2894132', 'longitude': '-81.6203407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,214,19,15.9,22,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16700,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '33.0153352', 'longitude': '-80.0075006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,964,81,78,84.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16700,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '33.0153352', 'longitude': '-80.0075006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,39300,"Providence-Warwick, RI-MA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,5376,77.3,75.5,79.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,39300,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '41.7041016', 'longitude': '-71.285053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,309,18.5,15.2,21.8,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16740,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '35.1091293', 'longitude': '-80.7322679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1451,81.5,78.2,84.8,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16740,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '35.1091293', 'longitude': '-80.7322679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,176,34.4,29.1,39.7,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16860,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '35.0489417', 'longitude': '-85.3611582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,412,65.6,60.3,70.9,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16860,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '35.0489417', 'longitude': '-85.3611582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,877,17,15.5,18.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16980,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '41.8235136', 'longitude': '-87.8282909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,4128,83,81.5,84.5,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,16980,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '41.8235136', 'longitude': '-87.8282909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,393,26,23,28.9,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17140,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '39.0785757', 'longitude': '-84.4634977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1318,74,71.1,77,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17140,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '39.0785757', 'longitude': '-84.4634977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,336,26.3,23.1,29.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17460,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '41.7603839', 'longitude': '-81.7242128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,1095,73.7,70.5,76.9,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17460,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '41.7603839', 'longitude': '-81.7242128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17820,"Colorado Springs, CO Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,269,24.5,21.5,27.5,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17820,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '38.8454419', 'longitude': '-104.6387277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17820,"Colorado Springs, CO Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,870,75.5,72.5,78.5,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17820,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '38.8454419', 'longitude': '-104.6387277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,17900,"Columbia, SC Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,230,18.1,15.1,21.1,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,17900,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '34.0775845', 'longitude': '-81.0378453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
